index,add_date,cm_track_id,title,primary_artist,secondary_artist,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,time_on_chart,max velocity,peak weekly rank,current_plays,peak weekly play count,listener difference,listener diff. %,Prim: Dec. 6-Followers,Prim: Jan 5-Followers,current engagement,career status,early FB likes,recent FB likes,early IG followers,recent IG followers,FB Like difference,FB Like % Gain,IG Follower difference,IG Follower % Gain,early Twitter followers,recent Twitter followers,Twitter Follower difference,Twitter Follower % Gain,early Tiktok followers,recent Tiktok followers,Tiktok Follower difference,Tiktok Follower % Gain,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
11,2020-04-09,28896626,2016,Sam Hunt,,6174734,6243358,False,1,,137,1734808,1734808,68624,1.1113677123581356,1986473,1705106,0.31817380967101355,indie,1078068.0,1075226.0,2255234.0,2455501.0,-2842.0,-0.26361973456219834,200267.0,8.880098473151788,593198.0,603619.0,10421.0,1.7567490112913395,,,,,0.2761424216816465,281367,16.50143744729067,0.04203138798936706,15.220909461648517
12,2020-08-20,29427913,21,Polo G,,6972084,14502757,False,31,18.4285714285714,42,3019467,3019467,7530673,108.0117938911809,2513278,698808,0.17329656699067633,indie,74948.0,159491.0,2650124.0,5760814.0,84543.0,112.80220953194215,3110690.0,117.37903584888856,263255.0,1580286.0,1317031.0,500.28717403278193,123953.0,1500000.0,1376047.0,1110.136099973377,0.10022942924956152,1814470,259.6521505191697,0.07306713774111481,72.89988408412937
13,2020-01-16,24825166,223's (feat. 9lokknine),YNW Melly,9lokknine,14174407,11285917,True,31,2.14285714285714,40,3536165,3536165,-2888490,-20.378207003651017,5033789,2338729,0.4460239252158243,comfortable,117824.0,204693.0,3165608.0,3751194.0,86869.0,73.72776344378056,585586.0,18.498373772115816,140073.0,256282.0,116209.0,82.96316920462901,,,,,0.16499660267974525,2695060,115.23609618728806,0.28102732253607904,170.3230963376542
14,2020-08-13,28650243,24,Money Man,,773820,5647860,False,3,6.142857142857139,113,2087247,2087247,4874040,629.86741102582,272642,157444,0.04827350536309328,indie,124072.0,142526.0,1041997.0,1231342.0,18454.0,14.873621768005671,189345.0,18.171357499109885,172880.0,329899.0,157019.0,90.82542804257288,,,,,0.20346333772712,115198,73.16760244912477,-0.15518983236402673,-76.27410131852035
15,2020-10-15,30993587,24 (feat. Lil Baby),Money Man,Lil Baby,773820,5647860,True,14,2.71428571428571,27,3375868,3375868,4874040,629.86741102582,272642,157444,0.04827350536309328,indie,124072.0,142526.0,1041997.0,1231342.0,18454.0,14.873621768005671,189345.0,18.171357499109885,172880.0,329899.0,157019.0,90.82542804257288,,,,,0.20346333772712,115198,73.16760244912477,-0.15518983236402673,-76.27410131852035
16,2020-03-05,28621701,25/8,Bad Bunny,,39855261,50734643,False,2,-7.142857142857139,62,3253848,3253848,10879382,27.297229341943087,27182805,17605395,0.5357839021356671,superstar,3541518.0,8530442.0,20759781.0,28757108.0,4988924.0,140.86964968129485,7997327.0,38.52317613562494,889435.0,2473155.0,1583720.0,178.0591049374041,,,,,0.44173327581520544,9577410,54.40042668738759,0.09405062632046164,21.29127042713593
17,2020-05-14,29332645,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Lil Baby,3733010,20698288,True,20,8.71428571428571,59,2635814,2635814,16965278,454.4664493264149,1955961,1329272,0.0944986851086428,indie,1432420.0,1517976.0,5846174.0,7607377.0,85556.0,5.97282919814021,1761203.0,30.125736934959512,3560065.0,4691511.0,1131446.0,31.78161072901759,,,,,0.35608583957717765,626689,47.14527952142225,-0.2615871544685349,-73.46182448006017
18,2020-08-20,30998241,3 Musketeers,NextYoungin,ppcocaine,13,2117681,True,8,7.28571428571429,109,2000267,2000267,2117668,16289753.846153844,14792,1,0.006984999157096843,indie,,,,,,,,,,,,,,,,,0.07692307692307693,14791,1479100.0,-0.06993807776598009,-90.91950109577412
19,2020-05-21,29427846,33,Polo G,,6972084,14502757,False,1,,127,1848996,1848996,7530673,108.0117938911809,2513278,698808,0.17329656699067633,indie,74948.0,159491.0,2650124.0,5760814.0,84543.0,112.80220953194215,3110690.0,117.37903584888856,263255.0,1580286.0,1317031.0,500.28717403278193,123953.0,1500000.0,1376047.0,1110.136099973377,0.10022942924956152,1814470,259.6521505191697,0.07306713774111481,72.89988408412937
20,2020-11-05,31825757,34+35,Ariana Grande,,62417310,70788872,False,8,0.28571428571428603,2,10380924,10380924,8371562,13.412244135481007,53660605,40517899,0.7580372943363188,superstar,32876163.0,33391595.0,171255892.0,208337183.0,515432.0,1.5677985292870096,37081291.0,21.6525636385112,68675314.0,79575138.0,10899824.0,15.871531362783433,16710870.0,21100000.0,4389130.0,26.26511964966516,0.6491452291039136,13142706,32.436790466356605,0.10889206523240524,16.774684669980694
