index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,max velocity,peak weekly rank,peak weekly play count,best or worst,listener difference,listener diff. %,Prim: Dec. 6-Followers,current engagement,career status,Prim: Jan 5-Followers,early FB likes,recent FB likes,early IG followers,recent IG followers,lFB Like difference,FB Like difference,FB Like % Gain,IG Follower difference,IG Follower % Gain
13,2020-01-09T00:00:00.000Z,14,Suicidal,27460356,['YNW Melly'],[763339],5880355,32,0.0,YNW Melly,,763339,,14174407,11285917,False,0.5714285714285711,6,7452633,best50,-2888490,-20.378207003651017,5033789,0.4460239252158243,comfortable,2338729,117824.0,204693.0,3165608.0,3751194.0,86869.0,86869.0,73.72776344378056,585586.0,18.498373772115816
14,2020-01-09T00:00:00.000Z,15,My Oh My,27597895,"['Camila Cabello', 'DaBaby']","[454302, 398544]",5680153,23,0.28571428571428603,Camila Cabello,DaBaby,454302,398544.0,59559452,33813940,True,1.42857142857143,15,5680153,best50,-25745512,-43.226576362724096,18947098,0.5603339332831371,superstar,14038861,3514833.0,4083528.0,45918817.0,50976101.0,568695.0,568695.0,16.179858331818327,5057284.0,11.013532861702426
15,2020-01-09T00:00:00.000Z,16,Don't Start Now,26822879,['Dua Lipa'],[5381],5216621,21,1.57142857142857,Dua Lipa,,5381,,44630838,59822249,False,4.0,5,7458752,best50,15191411,34.037924629602514,21113084,0.3529302952150796,superstar,14838486,4494070.0,5644621.0,37850648.0,56058265.0,1150551.0,1150551.0,25.60153713671572,18207617.0,48.10384488001368
16,2020-01-09T00:00:00.000Z,17,No Idea,23658940,['Don Toliver'],[838183],4922350,15,1.28571428571429,Don Toliver,,838183,,11545399,33429304,False,4.42857142857143,17,4922350,best50,21883905,189.54654577117688,1070285,0.03201637102585205,comfortable,157234,16094.0,42691.0,429643.0,1371286.0,26597.0,26597.0,165.26034547036164,941643.0,219.16870518081294
17,2020-01-09T00:00:00.000Z,18,hot girl bummer,24946504,['blackbear'],[169796],4897726,52,0.857142857142857,blackbear,,169796,,26492885,25883472,False,3.0,18,4991158,best50,-609413,-2.300289304090513,3721622,0.1437837242237054,comfortable,2674222,286230.0,308604.0,2597578.0,3310270.0,22374.0,22374.0,7.816790692799497,712692.0,27.436789193625756
18,2020-01-09T00:00:00.000Z,19,VIBEZ,25359295,['DaBaby'],[398544],4809631,40,1.7142857142857095,DaBaby,,398544,,21300480,42133931,False,1.7142857142857095,19,5068910,best50,20833451,97.80742499699538,4997734,0.11861542185560613,comfortable,1693894,786909.0,1034240.0,8964990.0,15035723.0,247331.0,247331.0,31.430699102437508,6070733.0,67.71600414501299
19,2020-01-09T00:00:00.000Z,20,Watermelon Sugar,27222889,['Harry Styles'],[558681],4793358,54,0.14285714285714302,Harry Styles,,558681,,30532559,41313683,False,7.0,4,6689854,best50,10781124,35.3102535558844,10882654,0.263415246711362,comfortable,5819822,14383537.0,14666275.0,25726997.0,33850031.0,282738.0,282738.0,1.9657056536233057,8123034.0,31.573968776845586
20,2020-01-09T00:00:00.000Z,21,Heartless,27527047,['The Weeknd'],[3852],4784585,17,0.5714285714285711,The Weeknd,,3852,,44066161,65803013,False,2.28571428571429,6,7524984,best50,21736852,49.32776422252893,26310557,0.39983818066203136,superstar,18207359,7316899.0,7861036.0,21461716.0,25946303.0,544137.0,544137.0,7.436716018630298,4484587.0,20.89575223155502
21,2020-01-09T00:00:00.000Z,22,OUT WEST (feat. Young Thug),28009698,"['JACKBOYS', 'Travis Scott', 'Young Thug']","[3494112, 4215, 4517]",4750318,39,-2.28571428571429,JACKBOYS,Travis Scott,3494112,4215.0,12369601,9606503,True,6.28571428571429,22,4750318,best50,-2763098,-22.33781024949794,323131,0.03363669381043237,comfortable,165697,,,,,,,,,
22,2020-01-09T00:00:00.000Z,23,Sunflower - Spider-Man: Into the Spider-Verse,21815071,"['Post Malone', 'Swae Lee']","[135326, 426751]",4700611,67,-0.5714285714285711,Post Malone,Swae Lee,135326,426751.0,59360500,41224314,True,2.28571428571429,23,4700611,best50,-18136186,-30.552616639010786,29558381,0.7170132897784546,superstar,20995429,3543685.0,4445668.0,19679511.0,22887250.0,901983.0,901983.0,25.45324993615403,3207739.0,16.29989180117331
23,2020-01-09T00:00:00.000Z,24,HIGHEST IN THE ROOM,25523830,['Travis Scott'],[4215],4640947,64,-0.5714285714285711,Travis Scott,,4215,,38669161,39381880,False,4.0,13,5599305,best50,712719,1.8431198959811927,13851627,0.3517258952594442,superstar,7529546,1942108.0,2584710.0,23488841.0,35317740.0,642602.0,642602.0,33.08786123119826,11828899.0,50.35965376069428
24,2020-01-09T00:00:00.000Z,25,Someone You Loved,21918634,['Lewis Capaldi'],[550208],4604720,84,-0.28571428571428603,Lewis Capaldi,,550208,,34614328,30470123,False,3.5714285714285694,25,4604720,best50,-4144205,-11.972513232092789,5901305,0.1936751289123448,comfortable,2045262,900971.0,1079617.0,4409354.0,5586481.0,178646.0,178646.0,19.828163170623693,1177127.0,26.69613281219879
25,2020-01-09T00:00:00.000Z,26,Woah,26955680,['Lil Baby'],[731530],4528520,16,1.14285714285714,Lil Baby,,731530,,16923931,17910987,False,2.14285714285714,20,5545953,best50,987056,5.832309290317952,5517133,0.3080306518004842,comfortable,3205882,342525.0,596663.0,8861003.0,13493552.0,254138.0,254138.0,74.19546018538793,4632549.0,52.28018769432761
