,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners
35,2020-01-09T00:00:00.000Z,36,Writing on the Wall,25351517,"['French Montana', 'Post Malone', 'Cardi B', 'Rvssian']","[3754, 135326, 200408, 214112]",3695717,3,-0.142857142857143,French Montana,Post Malone,3754,135326.0,20521868,15345601
36,2020-01-09T00:00:00.000Z,37,Ransom,23630396,['Lil Tecca'],[1014878],3657828,47,0.0,Lil Tecca,,1014878,,17495868,11658461
37,2020-01-09T00:00:00.000Z,38,TOES (feat. Lil Baby & Moneybagg Yo),25360349,"['DaBaby', 'Lil Baby', 'Moneybagg Yo']","[398544, 731530, 601328]",3492249,34,2.28571428571429,DaBaby,Lil Baby,398544,731530.0,21300480,42133931
38,2020-01-09T00:00:00.000Z,39,Truth Hurts,16784704,['Lizzo'],[210712],3433280,38,-0.142857142857143,Lizzo,,210712,,25064884,12438794
39,2020-01-09T00:00:00.000Z,40,223's (feat. 9lokknine),24825166,"['YNW Melly', '9lokknine']","[763339, 1579488]",3424197,31,-0.142857142857143,YNW Melly,9lokknine,763339,1579488.0,14174407,11285917
40,2020-01-09T00:00:00.000Z,41,Hot (Remix) [feat. Gunna and Travis Scott],26826415,"['Young Thug', 'Travis Scott', 'Gunna']","[4517, 4215, 620149]",3421786,11,-0.142857142857143,Young Thug,Travis Scott,4517,4215.0,21155993,28654596
41,2020-01-09T00:00:00.000Z,42,Falling,27651731,['Harry Styles'],[558681],3415708,52,0.0,Harry Styles,,558681,,30532559,41313683
42,2020-01-09T00:00:00.000Z,43,"10,000 Hours (with Justin Bieber)",25523855,"['Dan + Shay', 'Justin Bieber']","[4741, 3479]",3355067,60,0.285714285714286,Dan + Shay,Justin Bieber,4741,3479.0,19367377,15716932
43,2020-01-09T00:00:00.000Z,44,Stuck In A Dream (feat. Gunna),25229335,"['Lil Mosey', 'Gunna']","[855069, 620149]",3316362,27,0.285714285714286,Lil Mosey,Gunna,855069,620149.0,10070207,17785342
44,2020-01-09T00:00:00.000Z,45,Money In The Grave (Drake ft. Rick Ross),24066982,"['Drake', 'Rick Ross']","[3380, 2600]",3314636,68,-0.285714285714286,Drake,Rick Ross,3380,2600.0,45403636,53628176
45,2020-01-09T00:00:00.000Z,46,Señorita,24138628,"['Shawn Mendes', 'Camila Cabello']","[4934, 454302]",3289924,52,-0.285714285714286,Shawn Mendes,Camila Cabello,4934,454302.0,49202046,49403178
46,2020-01-09T00:00:00.000Z,47,Goodbyes (Feat. Young Thug),24327143,"['Post Malone', 'Young Thug']","[135326, 4517]",3266958,47,0.142857142857143,Post Malone,Young Thug,135326,4517.0,59360500,41224314
47,2020-01-09T00:00:00.000Z,48,No Guidance,23947926,"['Chris Brown', 'Drake']","[2249, 3380]",3216358,74,-0.142857142857143,Chris Brown,Drake,2249,3380.0,29696068,30063331
48,2020-01-09T00:00:00.000Z,49,Death,27044112,"['Trippie Redd', 'DaBaby']","[526471, 398544]",3176458,15,0.0,Trippie Redd,DaBaby,526471,398544.0,14643705,15492508
49,2020-01-09T00:00:00.000Z,50,Start Wit Me (feat. Gunna),26605268,"['Roddy Ricch', 'Gunna']","[839964, 620149]",3156095,16,1.14285714285714,Roddy Ricch,Gunna,839964,620149.0,19014642,21923722
50,2020-01-09T00:00:00.000Z,51,MIDDLE CHILD,22317509,['J. Cole'],[3530],3031578,99,-0.142857142857143,J. Cole,,3530,,20861228,19439045
51,2020-01-09T00:00:00.000Z,52,Wow.,22174494,['Post Malone'],[135326],3020295,61,-0.142857142857143,Post Malone,,135326,,59360500,41224314
52,2020-01-09T00:00:00.000Z,53,Yellow Hearts,24377605,['Ant Saunders'],[1650474],3019176,13,-0.142857142857143,Ant Saunders,,1650474,,8758248,2839432
53,2020-01-09T00:00:00.000Z,54,Had Enough (feat. Quavo & Offset),28008317,"['Don Toliver', 'Offset', 'Quavo']","[838183, 689070, 38780]",3012901,5,-5.57142857142857,Don Toliver,Offset,838183,689070.0,11545399,33429304
54,2020-01-09T00:00:00.000Z,55,Make No Sense,25947542,['YoungBoy Never Broke Again'],[215373],2938857,32,0.857142857142857,YoungBoy Never Broke Again,,215373,,16895537,15655616
55,2020-01-09T00:00:00.000Z,56,July,24736406,['Noah Cyrus'],[213898],2876332,30,3.0,Noah Cyrus,,213898,,14072634,12722224
56,2020-01-09T00:00:00.000Z,57,ORANGE SODA,24494993,['Baby Keem'],[1154357],2862847,22,3.0,Baby Keem,,1154357,,3171892,4219464
57,2020-01-09T00:00:00.000Z,58,GOODMORNINGTOKYO!,26287895,['TOKYO’S REVENGE'],[1589511],2824898,20,2.42857142857143,TOKYO’S REVENGE,,1589511,,2090077,3248601
58,2020-01-09T00:00:00.000Z,59,Camelot,25176284,['NLE Choppa'],[1388456],2803556,42,-0.571428571428571,NLE Choppa,,1388456,,10219130,10117511
59,2020-01-09T00:00:00.000Z,60,when the party's over,21809966,['Billie Eilish'],[5596],2797897,84,0.0,Billie Eilish,,5596,,54342584,52078113
60,2020-01-09T00:00:00.000Z,61,Peta (feat. Meek Mill),27599339,"['Roddy Ricch', 'Meek Mill']","[839964, 3970]",2797486,10,2.57142857142857,Roddy Ricch,Meek Mill,839964,3970.0,19014642,21923722
61,2020-01-09T00:00:00.000Z,62,Tip Toe (feat. A Boogie Wit da Hoodie),27515166,"['Roddy Ricch', 'A Boogie Wit da Hoodie']","[839964, 195737]",2765353,12,3.42857142857143,Roddy Ricch,A Boogie Wit da Hoodie,839964,195737.0,19014642,21923722
62,2020-01-09T00:00:00.000Z,63,High Fashion (feat. Mustard),27599219,"['Roddy Ricch', 'Mustard']","[839964, 4573]",2733491,48,11.5714285714286,Roddy Ricch,Mustard,839964,4573.0,19014642,21923722
63,2020-01-09T00:00:00.000Z,64,All Girls Are The Same,19043811,['Juice WRLD'],[921966],2717356,106,-1.57142857142857,Juice WRLD,,921966,,37770326,36216658
64,2020-01-09T00:00:00.000Z,65,Tusa,26955241,"['KAROL G', 'Nicki Minaj']","[206809, 3442]",2672855,24,2.57142857142857,KAROL G,Nicki Minaj,206809,3442.0,30466680,30138208
65,2020-01-09T00:00:00.000Z,66,Lights Up,25949044,['Harry Styles'],[558681],2641202,23,-1.0,Harry Styles,,558681,,30532559,41313683
66,2020-01-09T00:00:00.000Z,67,Baby (Lil Baby feat. DaBaby),24504051,"['Quality Control', 'Lil Baby', 'DaBaby']","[744697, 731530, 398544]",2630443,43,0.0,Quality Control,Lil Baby,744697,731530.0,8370163,6367098
67,2020-01-09T00:00:00.000Z,68,Legends,20015142,['Juice WRLD'],[921966],2605382,63,-1.57142857142857,Juice WRLD,,921966,,37770326,36216658
68,2020-01-09T00:00:00.000Z,69,"All I Want - From ""High School Musical: The Musical: The Series""",27528385,['Olivia Rodrigo'],[260477],2592546,13,14.0,Olivia Rodrigo,,260477,,1829803,4981888
69,2020-01-09T00:00:00.000Z,70,Take What You Want (feat. Ozzy Osbourne & Travis Scott),25094148,"['Post Malone', 'Ozzy Osbourne', 'Travis Scott']","[135326, 69, 4215]",2577807,34,0.0,Post Malone,Ozzy Osbourne,135326,69.0,59360500,41224314
70,2020-01-09T00:00:00.000Z,71,If The World Was Ending (feat. Julia Michaels),26187797,"['JP Saxe', 'Julia Michaels']","[572217, 473044]",2569283,58,4.28571428571429,JP Saxe,Julia Michaels,572217,473044.0,7553719,12341922
71,2020-01-09T00:00:00.000Z,72,SLOW DANCING IN THE DARK,20554453,['Joji'],[711146],2563355,112,1.14285714285714,Joji,,711146,,10337768,15474874
72,2020-01-09T00:00:00.000Z,73,VALENTINO,22325171,['24kGoldn'],[1005525],2541856,16,-0.142857142857143,24kGoldn,,1005525,,5790432,42134582
73,2020-01-09T00:00:00.000Z,74,Hate Me (with Juice WRLD),24217072,"['Ellie Goulding', 'Juice WRLD']","[3544, 921966]",2529323,55,-1.14285714285714,Ellie Goulding,Juice WRLD,3544,921966.0,28601099,24785161
74,2020-01-09T00:00:00.000Z,75,Pop Out (feat. Lil Tjay),22360351,"['Polo G', 'Lil Tjay']","[1120779, 1349373]",2516935,72,-0.285714285714286,Polo G,Lil Tjay,1120779,1349373.0,6972084,14502757
75,2020-01-09T00:00:00.000Z,76,lovely (with Khalid),19088585,"['Billie Eilish', 'Khalid']","[5596, 209693]",2491248,117,0.714285714285714,Billie Eilish,Khalid,5596,209693.0,54342584,52078113
76,2020-01-09T00:00:00.000Z,77,Before You Go,27430934,['Lewis Capaldi'],[550208],2486978,57,3.85714285714286,Lewis Capaldi,,550208,,34614328,30470123
77,2020-01-09T00:00:00.000Z,78,SICKO MODE,20318958,['Travis Scott'],[4215],2478652,123,-1.28571428571429,Travis Scott,,4215,,38669161,39381880
78,2020-01-09T00:00:00.000Z,79,Into the Unknown,27031598,"['Idina Menzel', 'AURORA']","[1805, 5172]",2474739,17,-1.14285714285714,Idina Menzel,AURORA,1805,5172.0,15967418,10618887
79,2020-01-09T00:00:00.000Z,80,The London (feat. J. Cole & Travis Scott),23634557,"['Young Thug', 'J. Cole', 'Travis Scott']","[4517, 3530, 4215]",2472173,46,-0.571428571428571,Young Thug,J. Cole,4517,3530.0,21155993,28654596
80,2020-01-09T00:00:00.000Z,81,Murder On My Mind,19877573,['YNW Melly'],[763339],2451476,108,-1.0,YNW Melly,,763339,,14174407,11285917
81,2020-01-09T00:00:00.000Z,82,Vete,27450969,['Bad Bunny'],[214945],2423803,14,-2.71428571428571,Bad Bunny,,214945,,39855261,50734643
82,2020-01-09T00:00:00.000Z,83,7 rings,22290726,['Ariana Grande'],[3963],2413328,74,-2.57142857142857,Ariana Grande,,3963,,62417310,70788872
83,2020-01-09T00:00:00.000Z,84,Drip Too Hard (Lil Baby & Gunna),20556655,"['Lil Baby', 'Gunna']","[731530, 620149]",2411621,114,-0.285714285714286,Lil Baby,Gunna,731530,620149.0,16923931,17910987
84,2020-01-09T00:00:00.000Z,85,Going Bad (feat. Drake),22039364,"['Meek Mill', 'Drake']","[3970, 3380]",2394477,87,-0.142857142857143,Meek Mill,Drake,3970,3380.0,14564341,13557896
85,2020-01-09T00:00:00.000Z,86,Graveyard,25175534,['Halsey'],[5109],2391061,18,1.71428571428571,Halsey,,5109,,38187377,41080840
86,2020-01-09T00:00:00.000Z,87,WHAT TO DO? (feat. Don Toliver),28009741,"['JACKBOYS', 'Travis Scott', 'Don Toliver']","[3494112, 4215, 838183]",2390464,3,-9.85714285714286,JACKBOYS,Travis Scott,3494112,4215.0,12369601,9606503
87,2020-01-09T00:00:00.000Z,88,Let Me Know (I Wonder Why Freestyle),27603598,['Juice WRLD'],[921966],2386871,10,-4.57142857142857,Juice WRLD,,921966,,37770326,36216658
88,2020-01-09T00:00:00.000Z,89,How Do You Sleep?,24554679,['Sam Smith'],[3176],2353037,26,1.42857142857143,Sam Smith,,3176,,48331110,42374274
89,2020-01-09T00:00:00.000Z,90,GANG GANG,28009719,"['JACKBOYS', 'Sheck Wes']","[3494112, 743316]",2342997,3,-9.71428571428571,JACKBOYS,Sheck Wes,3494112,743316.0,12369601,9606503
90,2020-01-09T00:00:00.000Z,91,Beautiful People (feat. Khalid),24225401,"['Ed Sheeran', 'Khalid']","[3648, 209693]",2342650,41,-3.85714285714286,Ed Sheeran,Khalid,3648,209693.0,64948953,50278129
91,2020-01-09T00:00:00.000Z,92,F.N,24819843,['Lil Tjay'],[1349373],2297296,53,2.14285714285714,Lil Tjay,,1349373,,10549063,11846575
92,2020-01-09T00:00:00.000Z,93,Maniac,26595159,['Conan Gray'],[562618],2275101,16,3.42857142857143,Conan Gray,,562618,,7607326,21425657
93,2020-01-09T00:00:00.000Z,94,RITMO (Bad Boys For Life),25866373,"['Black Eyed Peas', 'J Balvin']","[728, 3883]",2274853,18,1.57142857142857,Black Eyed Peas,J Balvin,728,3883.0,33898232,29791129
94,2020-01-09T00:00:00.000Z,95,Enemies (feat. DaBaby),25094550,"['Post Malone', 'DaBaby']","[135326, 398544]",2261666,35,0.714285714285714,Post Malone,DaBaby,135326,398544.0,59360500,41224314
95,2020-01-09T00:00:00.000Z,96,Trampoline (with ZAYN),25370334,"['SHAED', 'ZAYN']","[209861, 207124]",2239963,12,,SHAED,ZAYN,209861,207124.0,14502544,4533912
96,2020-01-09T00:00:00.000Z,97,Swervin (feat. 6ix9ine),22152724,"['A Boogie Wit da Hoodie', '6ix9ine']","[195737, 778806]",2236954,80,-0.142857142857143,A Boogie Wit da Hoodie,6ix9ine,195737,778806.0,20037474,15767644
97,2020-01-09T00:00:00.000Z,98,EARFQUAKE,23194901,"['Tyler, The Creator']",[2498],2226222,62,-0.142857142857143,"Tyler, The Creator",,2498,,11302183,11105932
98,2020-01-09T00:00:00.000Z,99,6 Kiss,27449271,"['Trippie Redd', 'Juice WRLD', 'YNW Melly']","[526471, 921966, 763339]",2225448,13,-1.28571428571429,Trippie Redd,Juice WRLD,526471,921966.0,14643705,15492508
99,2020-01-09T00:00:00.000Z,100,Up All Night,27220373,['Khalid'],[209693],2221247,8,3.57142857142857,Khalid,,209693,,54071938,47222366
100,2020-01-09T00:00:00.000Z,101,Hot (feat. Gunna),24879879,"['Young Thug', 'Gunna']","[4517, 620149]",2216922,28,-0.857142857142857,Young Thug,Gunna,4517,620149.0,21155993,28654596
101,2020-01-09T00:00:00.000Z,102,FML,27759515,['Arizona Zervas'],[64150],2216270,9,,Arizona Zervas,,64150,,28519561,12499023
102,2020-01-09T00:00:00.000Z,103,SAD!,18617811,['XXXTENTACION'],[74419],2215949,143,-1.57142857142857,XXXTENTACION,,74419,,28146437,26548080
103,2020-01-09T00:00:00.000Z,104,Panini,24134468,['Lil Nas X'],[1366172],2207112,24,-2.71428571428571,Lil Nas X,,1366172,,30547846,22473188
104,2020-01-09T00:00:00.000Z,105,20/20,28061886,['Lil Tjay'],[1349373],2200712,2,,Lil Tjay,,1349373,,10549063,11846575
105,2020-01-09T00:00:00.000Z,106,Lalala,24236636,"['Y2K', 'bbno$']","[558932, 558374]",2188817,45,-2.14285714285714,Y2K,bbno$,558932,558374.0,13116902,6118366
106,2020-01-09T00:00:00.000Z,107,rockstar,15941282,"['Post Malone', '21 Savage']","[135326, 5730]",2185027,133,-2.57142857142857,Post Malone,21 Savage,135326,5730.0,59360500,41224314
107,2020-01-09T00:00:00.000Z,108,Heartless (feat. Morgan Wallen),24875347,"['Diplo', 'Morgan Wallen']","[1964, 212715]",2171386,34,1.85714285714286,Diplo,Morgan Wallen,1964,212715.0,37464811,35139968
108,2020-01-09T00:00:00.000Z,109,Talk (feat. Disclosure),22395202,"['Khalid', 'Disclosure']","[209693, 4081]",2160183,48,-2.14285714285714,Khalid,Disclosure,209693,4081.0,54071938,47222366
109,2020-01-09T00:00:00.000Z,110,Juicy,24875465,"['Doja Cat', 'Tyga']","[217671, 3184]",2156099,18,1.14285714285714,Doja Cat,Tyga,217671,3184.0,13761847,33020571
110,2020-01-09T00:00:00.000Z,111,One Man Band,22289522,['Old Dominion'],[5110],2153703,30,3.28571428571429,Old Dominion,,5110,,5056077,4903114
111,2020-01-09T00:00:00.000Z,112,Cash Shit (feat. Da Baby),23214451,"['Megan Thee Stallion', 'DaBaby']","[788785, 398544]",2138913,32,-0.571428571428571,Megan Thee Stallion,DaBaby,788785,398544.0,7364874,33408712
112,2020-01-09T00:00:00.000Z,113,I Fall Apart,15939378,['Post Malone'],[135326],2132837,166,-0.142857142857143,Post Malone,,135326,,59360500,41224314
