index,cm_track_id,title,primary_artist,secondary_artist,Prim: Jan. 5-Listeners,Prim: Dec. 6-Listeners,collab,time_on_chart,max velocity,peak weekly rank,peak weekly play count,listener difference,listener diff. %,Prim: Dec. 6-Followers,Prim: Jan 5-Followers,current engagement,career status,early FB likes,recent FB likes,early IG followers,recent IG followers,FB Like difference,FB Like % Gain,IG Follower difference,IG Follower % Gain,early Twitter followers,recent Twitter followers,Twitter Follower difference,Twitter Follower % Gain,early Tiktok followers,recent Tiktok followers,Tiktok Follower difference,Tiktok Follower % Gain,early engagement,follower difference,follower diff. %
1149,15798674,goosebumps,Travis Scott,,38669161,39381880,False,214,9.428571428571429,8,6351723,712719,1.8431198959811927,13851627,7529546,0.3517258952594442,superstar,1942108.0,2584710.0,23488841.0,35317740.0,642602.0,33.08786123119826,11828899.0,50.359653760694286,6673232.0,9984511.0,3311279.0,49.620318909937495,,,,,0.19471707700097246,6322081,83.96364136695625
1083,29905020,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,Tory Lanez,1283302,18465339,True,25,27.714285714285694,2,8227016,17182037,1338.8927158221525,521403,94391,0.028236849591550962,indie,25315.0,77880.0,247945.0,1479081.0,52565.0,207.64368951214686,1231136.0,496.5359253060154,59686.0,248378.0,188692.0,316.14113862547333,182100.0,189400.0,7300.0,4.008786381109281,0.07355322441638835,427012,452.3863503935757
