index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 1-Listeners,Prim: Jan. 12-Listeners,collab,peak daily rank,peak daily play count,listener difference,listener diff. %,career status,Prim: Jan. 1-Followers,Prim: Jan 12-Followers,current engagement,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
14,2021-01-07T00:00:00.000Z,15,What You Know Bout Love,29992521,['Pop Smoke'],[1401297],547748,143,-0.142857142857143,Pop Smoke,,1401297,,38742767,39465155,False,15,584940,722388,1.8645751347599926,superstar,3404319,3228000,0.08179367343166395,0.08786979515428002,-176319,-5.179273740210597,-0.006076121722616068,-6.914915087656384
15,2021-01-07T00:00:00.000Z,16,WAP (feat. Megan Thee Stallion),30793258,"['Cardi B', 'Megan Thee Stallion']","[200408, 788785]",539666,157,-0.857142857142857,Cardi B,Megan Thee Stallion,200408,788785.0,37444210,38046155,True,16,608157,601945,1.6075783145111087,comfortable,13893804,13742557,0.36120751229657766,0.3710534686137056,-151247,-1.0885931599438137,-0.009845956317127924,-2.6535141563056786
16,2021-01-07T00:00:00.000Z,17,Body,32021398,['Megan Thee Stallion'],[788785],534002,54,0.0,Megan Thee Stallion,,788785,,32152983,32370893,False,17,581559,217910,0.6777287196027815,comfortable,3014129,2859279,0.08832870319641785,0.09374337056067239,-154850,-5.137470891259134,-0.005414667364254541,-5.776053636507631
17,2021-01-07T00:00:00.000Z,18,Laugh Now Cry Later (feat. Lil Durk),30989935,"['Drake', 'Lil Durk']","[3380, 4449]",531164,150,-0.428571428571429,Drake,Lil Durk,3380,4449.0,50788165,51234476,True,18,573703,446311,0.8787696897495706,superstar,51838943,51665913,1.0084208336589604,1.0206894263653747,-173030,-0.33378381191144274,-0.012268592706414339,-1.2019907710910849
18,2021-01-07T00:00:00.000Z,19,HOLIDAY,31951346,['Lil Nas X'],[1366172],525670,61,-0.428571428571429,Lil Nas X,,1366172,,25544516,26616443,False,19,552818,1071927,4.19630968932823,comfortable,3906650,3865237,0.14521989283090908,0.15293497829436267,-41413,-1.0600642494208592,-0.0077150854634535915,-5.044683400421274
19,2021-01-07T00:00:00.000Z,20,Sweater Weather,15790443,['The Neighbourhood'],[4298],507690,140,0.285714285714286,The Neighbourhood,,4298,,15633712,16710777,False,20,534822,1077065,6.889374705124412,comfortable,5171443,5080547,0.30402817295688883,0.3307879152436734,-90896,-1.7576525546158006,-0.02675974228678457,-8.089697674436543
20,2021-01-07T00:00:00.000Z,21,ROCKSTAR (feat. Roddy Ricch),29099003,"['DaBaby', 'Roddy Ricch']","[398544, 839964]",494243,269,-0.285714285714286,DaBaby,Roddy Ricch,398544,839964.0,43961539,45162699,True,21,495307,1201160,2.7322974293506874,superstar,5473383,5336422,0.11815994433813622,0.12450389873748506,-136961,-2.502309814606433,-0.0063439543993488445,-5.095386139453347
21,2021-01-07T00:00:00.000Z,22,Wishing Well,30069447,['Juice WRLD'],[921966],486795,157,-0.142857142857143,Juice WRLD,,921966,,38522755,37776642,False,22,526977,-746113,-1.9368111133276942,superstar,14758935,14505893,0.383991065166671,0.38312252070237446,-253042,-1.7145004026374533,0.0008685444642965168,0.22670149034941184
22,2021-01-07T00:00:00.000Z,23,Come & Go (with Marshmello),30053338,"['Juice WRLD', 'Marshmello']","[921966, 3907]",446017,157,0.714285714285714,Juice WRLD,Marshmello,921966,3907.0,38522755,37776642,True,23,461256,-746113,-1.9368111133276942,superstar,14758935,14505893,0.383991065166671,0.38312252070237446,-253042,-1.7145004026374533,0.0008685444642965168,0.22670149034941184
23,2021-01-07T00:00:00.000Z,24,Way Out (feat. Big Sean),32207021,"['Jack Harlow', 'Big Sean']","[152627, 2926]",441079,32,-0.142857142857143,Jack Harlow,Big Sean,152627,2926.0,19852628,20759441,True,24,496302,906813,4.567722721646726,comfortable,634257,606718,0.029226124152379632,0.03194826397794791,-27539,-4.341930794614801,-0.0027221398255682754,-8.520462418387478
