,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6
1030,31,2020-05-17T00:00:00.000Z,death bed (coffee for your head),Cow & Sheep Lover,USSM12000925,,28419993.0,92,"['2020-02-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z']",,,
1031,32,2020-05-17T00:00:00.000Z,I Like Him,Princess Nokia,US23A1502010,,28590283.0,45,['2020-02-26T00:00:00.000Z'],217795.0,248552.0,383178.0
1033,34,2020-05-17T00:00:00.000Z,nursery,jayne,QM24S1847164,,22461520.0,85,['2019-01-25T00:00:00.000Z'],54106.0,9740.0,17428.0
1036,37,2020-05-17T00:00:00.000Z,Hareudang Panas,TehAcaa,QZDFP1835966,,29504443.0,46,['2020-05-11T00:00:00.000Z'],,,
1037,38,2020-05-17T00:00:00.000Z,Young Thug - Relationship (feat. Future),🥰,USAT21701747,,15093585.0,65,['2017-06-16T00:00:00.000Z'],,,
1038,39,2020-05-17T00:00:00.000Z,Я дома,danya_milokhin,QM6MZ2054047,,29186662.0,32,['2020-04-24T00:00:00.000Z'],,,
1039,40,2020-05-17T00:00:00.000Z,Laxed - Siren Beat,Jawsh 685,NZAM02001128,,29203381.0,56,['2020-04-24T00:00:00.000Z'],3654834.0,45.0,58011.0
1040,41,2020-05-17T00:00:00.000Z,Roses - Imanbek Remix,SAINT JHN,DEE862000025,,28795304.0,17,"['2020-03-20T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-12-11T00:00:00.000Z']",23277.0,214198.0,583509.0
1041,42,2020-05-17T00:00:00.000Z,Can We Kiss Forever?,kinabeats,QMPKX1823521,,20497349.0,102,['2018-08-31T00:00:00.000Z'],,,
1042,43,2020-05-17T00:00:00.000Z,Kalla Sohna Nai,Neha Kakkar,FRX452036086,,28796976.0,58,[None],450003.0,6517380.0,14447732.0
1043,44,2020-05-17T00:00:00.000Z,Laxed - Siren Beat,Jawsh 685,NZAM02001128,,29203381.0,72,['2020-04-24T00:00:00.000Z'],3654834.0,45.0,58011.0
1045,46,2020-05-17T00:00:00.000Z,Favorito,Camilo,USSD12000055,,28855400.0,73,"['2020-03-26T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-10-30T00:00:00.000Z']",1355995.0,490572.0,5007681.0
1047,48,2020-05-17T00:00:00.000Z,Hit It,𝒀𝑼𝑵𝑮 𝑺𝑲𝑹𝑹𝑻 ,QZFZ72063845,,28847010.0,119,['2019-07-27T00:00:00.000Z'],,,
1048,49,2020-05-17T00:00:00.000Z,LMK,Lil XXEL,QMCE32000212,,29404636.0,24,['2020-05-07T00:00:00.000Z'],1115608.0,6599.0,46802.0
1049,50,2020-05-17T00:00:00.000Z,ily (i love you baby),Surf Mesa,QZJRC1945204,,27755710.0,210,"['2019-11-26T00:00:00.000Z', '2019-11-26T00:00:00.000Z', '2020-02-25T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-19T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-02T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-09T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-08T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-21T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-04T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-10-27T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-08T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-09T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-21T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-29T00:00:00.000Z']",1793858.0,595.0,103914.0
1050,51,2020-05-17T00:00:00.000Z,AhiChallenge,ROD🥴,QM4TW2087087,,28459077.0,74,['2020-02-09T00:00:00.000Z'],,,
1051,52,2020-05-17T00:00:00.000Z,Float on the Sound (Ey),Tiagz,QZHN51906144,,27807274.0,55,['2019-09-13T00:00:00.000Z'],877492.0,7048.0,122867.0
1052,53,2020-05-17T00:00:00.000Z,Kesha - Take It Off,叶子🍃💗,USRC10900736,,15674027.0,132,"['2010-10-08T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2010-05-10T00:00:00.000Z', '2010-09-10T00:00:00.000Z', '2011-01-28T00:00:00.000Z', '2010-11-19T00:00:00.000Z', '2011-03-22T00:00:00.000Z', '2013-11-22T00:00:00.000Z', '2010-12-17T00:00:00.000Z', '2010-01-01T00:00:00.000Z']",,,
1053,54,2020-05-17T00:00:00.000Z,Make Some TikTok,TikTok,ITV951900027,,24008840.0,229,['2019-05-22T00:00:00.000Z'],,,
1057,58,2020-05-17T00:00:00.000Z,say you remember me,flighthouse,GBKQU1627350,,20839577.0,26,['2016-03-22T00:00:00.000Z'],3630481.0,5.0,14.0
1059,60,2020-05-17T00:00:00.000Z,BORED IN THE HOUSE,curtistoofunny,QZ85M2035656,,28844676.0,61,['2020-03-23T00:00:00.000Z'],,,
1060,61,2020-05-17T00:00:00.000Z,Moto,Diler Kharkiya,INR731900731,,28227735.0,66,['2020-01-06T00:00:00.000Z'],1638725.0,2619.0,24572.0
1062,63,2020-05-17T00:00:00.000Z,Pump,VALENTINO KHAN,USZ4V1700087,,16090524.0,267,"['2017-05-26T00:00:00.000Z', '2017-06-02T00:00:00.000Z']",46206.0,154409.0,187054.0
1063,64,2020-05-17T00:00:00.000Z,What If (I Told You I Like You),johnny orlando,CAGFE1800001,,19251938.0,183,"['2018-06-15T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-17T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",214276.0,407104.0,541624.0
1064,65,2020-05-17T00:00:00.000Z,"1,2,3,4 ( One, Two, Three, Four ) [Fun Elektro Mix]",Funbeat,ITJ871201055,,21819135.0,234,['2012-01-01T00:00:00.000Z'],502499.0,26.0,60.0
1066,67,2020-05-17T00:00:00.000Z,Myself,Bazzi,USAT21801524,,19040153.0,177,"['2018-04-12T00:00:00.000Z', '2018-04-12T00:00:00.000Z', '2020-04-13T00:00:00.000Z']",213807.0,2671971.0,3863240.0
1067,68,2020-05-17T00:00:00.000Z,Hips Dont Lie by Shakira,goalsounds ,USSM10600677,,15778873.0,82,"['2015-06-19T00:00:00.000Z', '2015-09-04T00:00:00.000Z', '2006-11-24T00:00:00.000Z', '2015-12-04T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2014-06-10T00:00:00.000Z', '2009-03-06T00:00:00.000Z', '2014-08-29T00:00:00.000Z', '2012-09-14T00:00:00.000Z', '2006-03-27T00:00:00.000Z', '2013-01-01T00:00:00.000Z', '2015-10-30T00:00:00.000Z', '2009-06-11T00:00:00.000Z', '2014-11-07T00:00:00.000Z', '2012-06-01T00:00:00.000Z', '2012-12-14T00:00:00.000Z', '2006-10-30T00:00:00.000Z', '2006-03-15T00:00:00.000Z', '2009-11-30T00:00:00.000Z', '2008-08-15T00:00:00.000Z', '2016-07-01T00:00:00.000Z', '2014-09-12T00:00:00.000Z', '2010-12-17T00:00:00.000Z', '2014-06-06T00:00:00.000Z', '2014-11-28T00:00:00.000Z', '2015-11-27T00:00:00.000Z', '2014-11-07T00:00:00.000Z', '2011-05-09T00:00:00.000Z', '2005-01-01T00:00:00.000Z', '2016-03-11T00:00:00.000Z', '2016-01-15T00:00:00.000Z', '2013-06-21T00:00:00.000Z', '2012-01-01T00:00:00.000Z', '2009-06-15T00:00:00.000Z', '2005-01-01T00:00:00.000Z', '2011-06-03T00:00:00.000Z', '2009-05-08T00:00:00.000Z', '2013-12-23T00:00:00.000Z', '2012-03-23T00:00:00.000Z', '2016-12-02T00:00:00.000Z', '2005-01-01T00:00:00.000Z', '2014-08-29T00:00:00.000Z', '2009-08-20T00:00:00.000Z', '2013-08-02T00:00:00.000Z', '2008-11-11T00:00:00.000Z', '2017-12-12T00:00:00.000Z', '2018-07-20T00:00:00.000Z', '2009-07-03T00:00:00.000Z', '2017-11-10T00:00:00.000Z', '2018-11-20T00:00:00.000Z', '2018-12-07T00:00:00.000Z', '2006-01-01T00:00:00.000Z', '2018-11-30T00:00:00.000Z', '2019-03-29T00:00:00.000Z', '2018-12-07T00:00:00.000Z', '2018-12-14T00:00:00.000Z', '2019-06-19T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2019-11-29T00:00:00.000Z', '2019-12-13T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",,,
1068,69,2020-05-17T00:00:00.000Z,Safaera,Bad Bunny & Jowell & Randy & Nengo Flow,QM4TX2030965,,28621736.0,44,['2020-02-28T00:00:00.000Z'],,,
1070,71,2020-05-17T00:00:00.000Z,Ты мой кайф,ХАНЗА&OWEEK,RUA1D2002705,,28330804.0,90,"['2020-01-29T00:00:00.000Z', '2020-12-11T00:00:00.000Z']",,,
1072,73,2020-05-17T00:00:00.000Z,human,christina perri,USAT21304202,,15088012.0,86,"['2014-12-01T00:00:00.000Z', '2014-03-28T00:00:00.000Z', '2014-03-27T00:00:00.000Z', '2013-11-18T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",3684.0,2289536.0,2767212.0
1073,74,2020-05-17T00:00:00.000Z,The New Sweet Groove,Put a Donk on It,QZFZ32045406,,28924313.0,19,['2020-02-16T00:00:00.000Z'],3563282.0,19.0,1644.0
1075,76,2020-05-17T00:00:00.000Z,Say So,Doja Cat,USRC11903454,,26951096.0,117,"['2019-11-07T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-14T00:00:00.000Z', '2020-09-17T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",217671.0,779315.0,4337663.0
1076,77,2020-05-17T00:00:00.000Z,Dance Monkey,Tones And I,QZES71982312,,22955238.0,129,"['2019-05-10T00:00:00.000Z', '2019-05-10T00:00:00.000Z', '2019-08-08T00:00:00.000Z', '2019-08-29T00:00:00.000Z', '2019-10-17T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2019-10-17T00:00:00.000Z', '2019-08-30T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-02-07T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-07T00:00:00.000Z', '2020-04-13T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-13T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-25T00:00:00.000Z']",1410939.0,436052.0,2388886.0
